#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cnot11	Gulo	10116.ENSRNOP00000035943	10116.ENSRNOP00000022703	0	0	0	0	0	0.697	0	0	0.697
Etfa	Gulo	10116.ENSRNOP00000020544	10116.ENSRNOP00000022703	0.094	0	0	0	0.179	0.390	0	0.270	0.624
Etfa	Etfb	10116.ENSRNOP00000020544	10116.ENSRNOP00000024083	0.256	0.875	0.524	0	0.948	0.948	0.969	0.938	0.999
Etfb	Gulo	10116.ENSRNOP00000024083	10116.ENSRNOP00000022703	0.094	0	0	0	0.163	0.390	0	0.256	0.609
Glo1	Mmut	10116.ENSRNOP00000000650	10116.ENSRNOP00000064363	0	0	0	0	0.055	0	0.288	0.226	0.433
Glo1	Hao1	10116.ENSRNOP00000000650	10116.ENSRNOP00000006330	0.056	0	0	0	0.047	0	0.408	0.226	0.532
Glo1	Gulo	10116.ENSRNOP00000000650	10116.ENSRNOP00000022703	0	0	0	0	0	0	0.345	0.752	0.830
Glo1	Hagh	10116.ENSRNOP00000000650	10116.ENSRNOP00000020192	0.043	0	0	0	0.060	0	0.933	0.977	0.998
Gulo	Kdsr	10116.ENSRNOP00000022703	10116.ENSRNOP00000003728	0	0.675	0	0	0	0	0	0.189	0.725
Gulo	Hao1	10116.ENSRNOP00000022703	10116.ENSRNOP00000006330	0.083	0	0	0	0.366	0.348	0	0.240	0.673
Gulo	Rgn	10116.ENSRNOP00000022703	10116.ENSRNOP00000010984	0.072	0	0	0	0.221	0	0.926	0.582	0.974
Gulo	Hagh	10116.ENSRNOP00000022703	10116.ENSRNOP00000020192	0.044	0	0	0	0.077	0	0.311	0.637	0.750
Gulo	Uox	10116.ENSRNOP00000022703	10116.ENSRNOP00000021970	0	0	0	0	0.266	0	0	0.538	0.646
Gulo	Mmut	10116.ENSRNOP00000022703	10116.ENSRNOP00000064363	0	0	0	0	0.051	0	0	0.665	0.668
Hagh	Hao1	10116.ENSRNOP00000020192	10116.ENSRNOP00000006330	0.045	0	0	0	0.124	0	0.359	0.131	0.471
Hao1	Rgn	10116.ENSRNOP00000006330	10116.ENSRNOP00000010984	0.116	0	0	0	0.226	0	0	0.303	0.482
Hao1	Uox	10116.ENSRNOP00000006330	10116.ENSRNOP00000021970	0	0	0	0	0.417	0	0	0.393	0.631
